"","zone","forcasttime","forcastcount"
"485","Bushwick North",2014-07-01 05:00:00,3
"486","Bushwick North",2014-07-01 06:00:00,3
"487","Bushwick North",2014-07-01 07:00:00,4
"488","Bushwick North",2014-07-01 08:00:00,4
"489","Bushwick North",2014-07-01 09:00:00,4
"490","Bushwick North",2014-07-01 10:00:00,4
"491","Bushwick North",2014-07-01 11:00:00,4
"492","Bushwick North",2014-07-01 12:00:00,4
"493","Bushwick North",2014-07-01 13:00:00,4
"494","Bushwick North",2014-07-01 14:00:00,4
"495","Bushwick North",2014-07-01 15:00:00,4
"496","Bushwick North",2014-07-01 16:00:00,4
"497","Bushwick North",2014-07-01 17:00:00,3
"498","Bushwick North",2014-07-01 18:00:00,3
"499","Bushwick North",2014-07-01 19:00:00,3
"500","Bushwick North",2014-07-01 20:00:00,3
